Time stamp;;;Electrical load [MWh];;;;Water consumption [m3/h];;;Solar data [Wh/m2];;;Wind speed [10 magl] [m/s];;;Temperature at 2m [¡C];;
Month;Hour of the day;Hour of the year;Load A;Load B;Load A + random;Load B + random;Regime1 (m?/h);Regime2 (m?/h);Regime3 (m?/h); IDEAM ; MERRA2; ERA5 ; IDEAM ; MERRA2; ERA5 ; IDEAM ; MERRA2; ERA5 
1;12;108;4.8;5.5;4.7;5.4;286.3;107.4;216.7;530.6;521.5386;618.05;4.508;4.69;3.886; 27.60 ;30.44;30.605
1;13;109;4.7;5.4;4.6;5.3;286.3;107.4;310.6;573.7;711.7764;663.24;5.292;4.79;4.267; 28.05 ;29.64;31.226
1;14;110;4.8;5.5;4.9;5.6;286.3;107.4;432.2;807;773.8513;663.34;4.642;4.47;4.656; 28.50 ;28.27;31.491
1;15;111;4.8;5.5;4.8;5.6;286.3;107.4;245.4;725.9;723.4915;596.78;5.792;4.37;5.016; 28.10 ;27.33;31.481
1;16;112;5.0;5.4;5.1;5.3;286.3;107.4;56.4;578.7;590.5908;470.16;5.617;4.16;4.794; 27.70 ;26.69;31.179
1;17;113;5.4;4.8;5.3;4.9;286.3;107.4;95.1;375.5;397.8532;303.46;5.642;3.99;4.685; 27.30 ;26.17;30.607
1;18;114;5.1;5.0;5.2;5.0;0.0;107.4;99.1;133.2;180.2558;141.29;4.983;3.87;4.384; 26.90 ;25.73;29.83
1;19;115;4.8;5.1;4.8;5.1;0.0;107.4;121.6;22;16.3348;17.13;4.525;3.62;3.99; 26.50 ;25.32;28.712
1;20;116;4.8;5.2;4.8;5.1;0.0;107.4;134.8;0;0;0;2.983;3.3;4.232; 26.35 ;24.93;28.08
1;21;117;5.1;5.3;5.0;5.3;0.0;107.4;121.6;0;0;0;2.092;3.21;4.392; 26.19 ;24.57;27.633
1;22;118;5.2;5.6;5.1;5.5;0.0;107.4;95.1;0;0;0;0.867;3.58;4.624; 26.04 ;24.46;27.296
1;23;119;5.1;5.5;5.1;5.5;0.0;107.4;40.9;0;0;0;0.583;3.84;4.566; 25.88 ;24.34;26.849
1;24;120;5.0;5.4;4.9;5.3;0.0;107.4;17.7;0;0;0;0.683;3.85;4.247; 25.73 ;24.23;26.31
1;1;121;4.6;4.0;4.6;4.0;0.0;107.4;9.6;0;0;0;1.417;3.92;3.932; 25.58 ;24.23;25.834
1;2;122;4.8;4.3;4.7;4.2;0.0;107.4;2.4;0;0;0;1.825;3.63;3.763; 25.42 ;24.21;25.494
1;3;123;4.8;4.6;4.7;4.5;0.0;107.4;3.6;0;0;0;1.358;3.67;3.76; 25.27 ;24.44;25.608
